scenario,ewoc,burn_in,simulation,true_mtd,closest_target_dose,selected_mtd,selected_without_final_ewoc,ewoc_final_downshift,additional_duration_weeks,total_duration_weeks,stopped_early,n_total,n_new,n_acute_tox,n_subacute_tox,any_acute_tox,any_subacute_tox,n_above_true_mtd,pct_above_true_mtd,n_L0,n_L1,n_L2,n_L3,n_L4,n_new_L0,n_new_L1,n_new_L2,n_new_L3,n_new_L4
Acute steep,EWOC during + final,False,184,2,3,2,3,1,96.0,120.0,False,30,24,5,1,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,185,2,3,2,3,1,96.0,120.0,False,30,24,4,4,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,186,2,3,3,3,0,96.0,120.0,False,30,24,2,5,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,187,2,3,2,3,1,96.0,120.0,False,30,24,3,0,True,False,3,10.0,0,9,18,3,0,0,3,18,3,0
Acute steep,EWOC during + final,False,188,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,189,2,3,2,3,1,96.0,120.0,False,30,24,4,3,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,190,2,3,3,3,0,96.0,120.0,False,30,24,2,3,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,191,2,3,3,3,0,96.0,120.0,False,30,24,3,2,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,192,2,3,2,3,1,96.0,120.0,False,30,24,4,0,True,False,3,10.0,0,9,18,3,0,0,3,18,3,0
Acute steep,EWOC during + final,False,193,2,3,2,2,0,96.0,120.0,False,30,24,5,1,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,194,2,3,3,3,0,96.0,120.0,False,30,24,2,3,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,195,2,3,2,3,1,96.0,120.0,False,30,24,3,1,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
